FID,pk,efetivacao,tipo,nivel,upperlimit,uom_ulimit,lowerlimit,uom_llimit,rumo_verda,rumo_mag,c_rumo_ver,c_rumo_mag,aerovia,geom,emenda,emenda_futura
airway.1,4,2017-06-21,CONV,LOWER,245,FL,145,FL,160,169,340,350,A301,"MULTILINESTRING ((-68.687 -7.689666667, -68.62602265799978 -7.85869113547255, -68.5649959657368 -8.02770539235644, -68.5039188095349 -8.19670920916861, -68.44279007237829 -8.36570235685268, -68.38160863383182 -8.53468460577199, -68.32037336996322 -8.70365572569608, -68.25908315326495 -8.87261548578713, -68.19773685257545 -9.04156365458632, -68.136333333 -9.2105))",2018-09-13,2018-10-11
airway.2,1,2017-06-21,CONV,LOWER,245,FL,145,FL,160,168,340,349,A301,"MULTILINESTRING ((-69.939666667 -4.195, -69.89107294900467 -4.329892531643369, -69.8424620191029 -4.46478145853619, -69.793833333 -4.599666667))",2018-09-13,2018-10-11
airway.3,3,2017-02-02,CONV,LOWER,245,FL,145,FL,160,169,340,349,A301,"MULTILINESTRING ((-69.2005 -6.260666667, -69.14359395910253 -6.41947541251467, -69.08665264990952 -6.57827685051576, -69.02967517120197 -6.73707079537264, -68.97266061966637 -6.89585706109402, -68.91560808983854 -7.0546354613250095, -68.85851667404926 -7.2134058093378695, -68.80138546236986 -7.372167918022599, -68.74421354255747 -7.53092159987757, -68.687 -7.689666667))",2018-09-13,2018-10-11
airway.4,2,2017-02-02,CONV,LOWER,245,FL,145,FL,161,169,340,349,A301,"MULTILINESTRING ((-69.793833333 -4.599666667, -69.73551393228011 -4.76491953780707, -69.67716667 -4.930166667))",2018-09-13,2018-10-11
airway.5,6,2017-02-02,CONV,LOWER,245,FL,145,FL,149,158,329,338,A301,"MULTILINESTRING ((-67.905380556 -9.875982222000001, -67.81399617963764 -10.025943548934599, -67.72252774917737 -10.17587835058666, -67.63097391660656 -10.32578620027803, -67.53933333 -10.47566667))",2018-09-13,2018-10-11
airway.6,5,2017-02-02,CONV,LOWER,245,FL,145,FL,161,170,341,350,A301,"MULTILINESTRING ((-68.136333333 -9.2105, -68.07867862474012 -9.37688719550223, -68.02096895559592 -9.54326343466496, -67.96320328181717 -9.70962851214425, -67.905380556 -9.875982222000001))",2018-09-13,2018-10-11
airway.7,6255,2017-06-21,CONV,LOWER,245,FL,145,FL,160,169,340,349,A301,"MULTILINESTRING ((-69.67716667 -4.930166667, -69.61769758408995 -5.09650290418589, -69.55819790018076 -5.2628327823528895, -69.49866659871344 -5.42915609042124, -69.43910265813372 -5.59547261696721, -69.3795050548241 -5.76178215021809, -69.31987276303752 -5.9280844780408195, -69.26020475483122 -6.0943793879307195, -69.2005 -6.260666667))",2018-09-13,2018-10-11
airway.8,7,2014-05-29,CONV,LOWER,245,FL,145,FL,118,132,297,313,A304,"MULTILINESTRING ((-57.664500000000004 -19.016166667, -57.508593215204655 -19.09369975234295, -57.352541300250266 -19.17110013610581, -57.196343734460896 -19.24836711882461, -57.04 -19.3255))",2018-09-13,2018-10-11
airway.9,9,2017-06-21,CONV,LOWER,245,FL,145,FL,119,136,298,315,A304,"MULTILINESTRING ((-55.304 -20.16783333, -55.15042982600246 -20.24695707030958, -54.99670417691648 -20.32594552520942, -54.842822501168605 -20.40479798780675, -54.68878425 -20.48351375))",2018-09-13,2018-10-11
airway.10,8,2017-06-21,CONV,LOWER,245,FL,145,FL,117,133,297,314,A304,"MULTILINESTRING ((-57.04 -19.3255, -56.86721568734032 -19.41048841943301, -56.69425191517088 -19.4953115737369, -56.52110799910925 -19.57996851605444, -56.34778325914001 -19.66445829804037, -56.17427701966534 -19.74877996986944, -56.00058860956019 -19.832932580242748, -55.82671736222775 -19.916915176394347, -55.652662615655416 -20.00072680409813, -55.4784237124711 -20.08436650767494, -55.304 -20.16783333))",2018-09-13,2018-10-11
airway.11,20,2014-03-06,CONV,LOWER,245,FL,145,FL,216,230,36,50,A305,"MULTILINESTRING ((-52.327447222 -31.718883333, -52.4434324048516 -31.856279226051647, -52.55976194688178 -31.99356606870546, -52.676438449833896 -32.13074297654311, -52.79346453151161 -32.26780905829133, -52.91084282588039 -32.40476341575171, -53.028575983168665 -32.541605143729846, -53.14666667 -32.67833333))",2018-09-13,2018-10-11
airway.12,23,2018-07-19,CONV,LOWER,245,FL,145,FL,224,238,44,58,A309,"MULTILINESTRING ((-52.327447222 -31.718883333, -52.470903948121475 -31.84597196978475, -52.61475434216061 -31.972895849285738, -52.75900092879884 -32.09965372588629, -52.90364624146036 -32.22624434569361, -53.04869282226603 -32.35266644647683, -53.194143221984575 -32.47891875760478, -53.34 -32.605000000000004))",2018-09-13,2018-10-11
airway.13,21,2018-03-01,CONV,LOWER,245,FL,145,FL,209,225,29,46,A309,"MULTILINESTRING ((-51.145958333 -29.950138889, -51.240853238134925 -30.097520490972677, -51.336030041384106 -30.24483004921897, -51.43149112497784 -30.39206694532058, -51.527238889 -30.539230556))",2018-09-13,2018-10-11
airway.14,6105,2018-03-01,CONV,LOWER,245,FL,145,FL,210,226,30,45,A309,"MULTILINESTRING ((-51.647275 -30.719169444000002, -51.74357189035279 -30.86221385771087, -51.840155050811816 -31.00518327526796, -51.937026816286696 -31.14807707067385, -52.03418953863122 -31.29089461292276, -52.13164558668301 -31.433635265769688, -52.229397346625156 -31.57629838796889, -52.327447222 -31.718883333))",2018-09-13,2018-10-11
airway.15,6900,2018-03-01,CONV,LOWER,245,FL,145,FL,210,226,30,46,A309,"MULTILINESTRING ((-51.55033333 -30.57466667, -51.647275 -30.719169444000002))",2018-09-13,2018-10-11
airway.16,6810,2018-03-01,CONV,LOWER,245,FL,145,FL,209,226,29,46,A309,"MULTILINESTRING ((-51.527238889 -30.539230556, -51.55033333 -30.57466667))",2018-09-13,2018-10-11
airway.17,24,2013-12-12,CONV,LOWER,245,FL,145,FL,5,18,185,199,A310,"MULTILINESTRING ((-54.15533333 -31.867500000000003, -54.14007599044539 -31.708577072237038, -54.12487060143227 -31.549648359172668, -54.109716667 -31.390713889))",2018-09-13,2018-10-11
airway.18,26,2017-06-21,CONV,LOWER,245,FL,145,FL,241,257,61,77,A314,"MULTILINESTRING ((-51.83583333 -30.323, -51.967108333 -30.386380556))",2018-09-13,2018-10-11
airway.19,25,2017-10-12,CONV,LOWER,245,FL,145,FL,238,254,58,74,A314,"MULTILINESTRING ((-51.145958333 -29.950138889, -51.317941365573496 -30.043695354039187, -51.49024751838141 -30.13702520448748, -51.662877829610835 -30.23012717593142, -51.83583333 -30.323))",2018-09-13,2018-10-11
airway.20,6104,2018-02-01,CONV,LOWER,245,FL,145,FL,241,257,62,76,A314,"MULTILINESTRING ((-51.967108333 -30.386380556, -52.13720149535041 -30.46818300491826, -52.30757881433543 -30.54976226935968, -52.47824091316987 -30.631117260212328, -52.649188406682576 -30.71224688598528, -52.82042190119883 -30.793150052829187, -52.99194199442207 -30.873825664557447, -53.16374927531497 -30.95427262266778, -53.3358443239797 -31.03448982636444, -53.50822771153756 -31.114476172581018, -53.6809 -31.194230556))",2018-09-13,2018-10-11
airway.21,27,2018-02-01,CONV,LOWER,245,FL,145,FL,225,238,45,59,A314,"MULTILINESTRING ((-54.109716667 -31.390713889, -54.22169483591187 -31.485964571264297, -54.33390003265449 -31.5811156861994, -54.44633333 -31.67616667))",2018-09-13,2018-10-11
airway.22,6851,2018-02-01,CONV,LOWER,245,FL,145,FL,242,256,62,76,A314,"MULTILINESTRING ((-53.6809 -31.194230556, -53.82364128132816 -31.259884618886428, -53.966580069762095 -31.325379271533258, -54.109716667 -31.390713889))",2018-09-13,2018-10-11
airway.23,4487,2013-12-12,CONV,LOWER,245,FL,145,FL,92,112,271,292,A428,"MULTILINESTRING ((-47.607188717 -23.5015229, -47.49270647086525 -23.50433129678567, -47.378219444 -23.507055556))",2018-09-13,2018-10-11
airway.24,28,2017-06-21,CONV,LOWER,245,FL,145,FL,72,88,251,269,A428,"MULTILINESTRING ((-54.31333333 -24.345000000000002, -54.13512040290025 -24.291049726372467, -53.957058332878894 -24.236890240281188, -53.77914719254776 -24.18252224010258, -53.60138704809662 -24.12794642499555, -53.42377795932599 -24.07316349488087, -53.246319979675135 -24.018174150419277, -53.069013156250335 -23.96297909298961, -52.891857529853326 -23.90757902466725, -52.71485313501014 -23.85197464820264, -52.538000000000004 -23.796166667))",2018-09-13,2018-10-11
